Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
3202306,Guaçuí (ES),560717.0,39641.0,51811.0,78145.0,252030.0,139090.0
3202405,Guarapari (ES),2315194.0,208324.0,52178.0,292647.0,1199030.0,563014.0
3202454,Ibatiba (ES),376593.0,26536.0,54598.0,21265.0,157217.0,116976.0
3202504,Ibiraçu (ES),271346.0,26229.0,18145.0,40758.0,122197.0,64017.0
3202553,Ibitirama (ES),156319.0,9842.0,41171.0,6079.0,50115.0,49111.0
3202603,Iconha (ES),305544.0,59201.0,29572.0,16664.0,125753.0,74354.0
3202652,Irupi (ES),256667.0,15773.0,81282.0,11592.0,81116.0,66905.0
3202702,Itaguaçu (ES),276313.0,14188.0,81153.0,17251.0,91977.0,71744.0
3202801,Itapemirim (ES),3244133.0,84057.0,90338.0,1886850.0,827913.0,354975.0
3202900,Itarana (ES),216568.0,12831.0,38450.0,38119.0,73720.0,53448.0
3203007,Iúna (ES),531478.0,43173.0,106087.0,23081.0,228630.0,130507.0
3203056,Jaguaré (ES),651010.0,42326.0,98644.0,136316.0,212250.0,161473.0
3203106,Jerônimo Monteiro (ES),149303.0,8614.0,20485.0,8239.0,55281.0,56684.0
3203130,João Neiva (ES),383415.0,64266.0,13868.0,65670.0,164025.0,75587.0
3203163,Laranja da Terra (ES),156096.0,9172.0,40350.0,9520.0,41477.0,55577.0
3203205,Linhares (ES),6672826.0,1004028.0,275560.0,2191805.0,2283670.0,917763.0
3203304,Mantenópolis (ES),169360.0,7135.0,31540.0,9912.0,48413.0,72360.0
3203320,Marataízes (ES),3622212.0,76311.0,96717.0,2205607.0,943178.0,300398.0
3203346,Marechal Floriano (ES),493761.0,52934.0,99702.0,62824.0,188692.0,89609.0
3203353,Marilândia (ES),225558.0,17240.0,26640.0,23970.0,90715.0,66993.0
3203403,Mimoso do Sul (ES),489973.0,40516.0,72693.0,74484.0,186646.0,115633.0
3203502,Montanha (ES),367560.0,33643.0,63908.0,38031.0,137585.0,94393.0
3203601,Mucurici (ES),87581.0,2630.0,27666.0,4541.0,18684.0,34061.0
3203700,Muniz Freire (ES),343559.0,22065.0,98035.0,23558.0,106966.0,92934.0
3203809,Muqui (ES),202485.0,12759.0,22740.0,9706.0,86780.0,70501.0
3203908,Nova Venécia (ES),1208271.0,122118.0,102178.0,191914.0,557995.0,234067.0
3204005,Pancas (ES),279585.0,12679.0,60117.0,15880.0,86078.0,104831.0
3204054,Pedro Canário (ES),348669.0,17380.0,36627.0,62804.0,112174.0,119684.0
3204104,Pinheiros (ES),682309.0,93426.0,103589.0,101034.0,245445.0,138814.0
3204203,Piúma (ES),585408.0,33299.0,13801.0,226407.0,189884.0,122018.0
3204252,Ponto Belo (ES),93979.0,3836.0,17757.0,5092.0,26865.0,40429.0
3204302,Presidente Kennedy (ES),3514594.0,49050.0,69244.0,2368609.0,865802.0,161890.0
3204351,Rio Bananal (ES),426834.0,32024.0,118970.0,37833.0,131096.0,106912.0
3204401,Rio Novo do Sul (ES),205780.0,20991.0,18656.0,38151.0,69820.0,58162.0
3204500,Santa Leopoldina (ES),281608.0,8179.0,97737.0,65017.0,54805.0,55870.0
3204559,Santa Maria de Jetibá (ES),1520558.0,102053.0,711120.0,95398.0,396841.0,215146.0
3204609,Santa Teresa (ES),492689.0,37416.0,82779.0,39584.0,217898.0,115012.0
3204658,São Domingos do Norte (ES),257245.0,30555.0,32072.0,89799.0,57592.0,47227.0
3204708,São Gabriel da Palha (ES),677047.0,52494.0,64521.0,102593.0,290245.0,167194.0
3204807,São José do Calçado (ES),173038.0,9432.0,18581.0,31868.0,62272.0,50885.0
3204906,São Mateus (ES),2573913.0,267586.0,221875.0,365161.0,1097222.0,622070.0
3204955,São Roque do Canaã (ES),207932.0,15423.0,41760.0,20731.0,72982.0,57037.0
3205002,Serra (ES),25079657.0,6145832.0,24068.0,5466585.0,11196709.0,2246463.0
3205010,Sooretama (ES),543169.0,57371.0,74963.0,101077.0,159028.0,150730.0
3205036,Vargem Alta (ES),366570.0,36109.0,38939.0,79346.0,115967.0,96208.0
3205069,Venda Nova do Imigrante (ES),645060.0,71189.0,60151.0,89952.0,301499.0,122269.0
3205101,Viana (ES),3619150.0,958759.0,20989.0,455933.0,1848295.0,335173.0
3205150,Vila Pavão (ES),150319.0,7896.0,32131.0,22360.0,40169.0,47763.0
3205176,Vila Valério (ES),316623.0,19844.0,101196.0,19374.0,102514.0,73694.0
3205200,Vila Velha (ES),12590915.0,2223900.0,18117.0,1688547.0,6670715.0,1989636.0
3205309,Vitória (ES),25473898.0,5717593.0,17610.0,5181982.0,12642034.0,1914680.0
3300100,Angra dos Reis (RJ),10728194.0,592314.0,57804.0,3526087.0,4826696.0,1725294.0
